094306	4800.71N	00016.67E	050	015	3422.904	34	143	124	96	176	610.2306	-15.625	16.40625	29.889177	11.932203	
000000	0000.00N	00000.00E	000	000	0.0	34	142	124	96	176	604.3712	-15.625	16.40625	29.889177	11.932203	
000000	0000.00N	00000.00E	000	000	0.0	35	140	124	99	175	592.65247	-15.625	18.359375	31.799013	11.864407	
000000	0000.00N	00000.00E	000	000	0.0	34	139	124	101	175	586.7931	-15.625	16.40625	33.07224	11.864407	
000000	0000.00N	00000.00E	000	000	0.0	35	136	123	100	176	569.21497	-19.53125	18.359375	32.435623	11.932203	
000000	0000.00N	00000.00E	000	000	0.0	35	135	123	97	175	563.3556	-19.53125	18.359375	30.52579	11.864407	
000000	0000.00N	00000.00E	000	000	0.0	35	134	123	96	176	557.4962	-19.53125	18.359375	29.889177	11.932203	
000000	0000.00N	00000.00E	000	000	0.0	35	134	122	95	176	557.4962	-23.4375	18.359375	29.252565	11.932203	
094541	4801.16N	00017.30E	061	013	4205.935	20	89	123	96	173	293.82437	-19.53125	-10.9375	29.889177	11.728813	
000000	0000.00N	00000.00E	000	000	0.0	35	131	123	94	175	539.9181	-19.53125	18.359375	28.615953	11.864407	
094623	4801.25N	00017.44E	044	013	4413.809	34	130	123	92	176	534.0587	-19.53125	16.40625	27.342731	11.932203	
000000	0000.00N	00000.00E	000	000	0.0	34	129	122	91	176	528.19934	-23.4375	16.40625	26.70612	11.932203	
094646	4801.31N	00017.51E	037	014	4536.948	34	128	122	91	175	522.33997	-23.4375	16.40625	26.70612	11.864407	
094707	4801.38N	00017.58E	039	017	4656.4297	35	127	122	90	176	516.4806	-23.4375	18.359375	26.069508	11.932203	
094727	4801.44N	00017.65E	038	016	4760.976	35	126	122	89	175	510.62125	-23.4375	18.359375	25.432896	11.864407	
094749	4801.51N	00017.73E	033	016	4874.6665	34	123	121	86	176	493.04312	-27.34375	16.40625	23.52306	11.932203	
094810	4801.58N	00017.81E	037	012	4994.148	34	122	121	87	176	487.18375	-27.34375	16.40625	24.159672	11.932203	
094831	4801.64N	00017.87E	027	012	5113.02	34	121	121	86	176	481.32437	-27.34375	16.40625	23.52306	11.932203	
094852	4801.71N	00017.96E	040	018	5230.368	18	76	120	86	172	217.6525	-31.25	-14.84375	23.52306	11.661017	
094912	4801.78N	00018.03E	029	016	5345.278	34	118	120	87	176	463.74625	-31.25	16.40625	24.159672	11.932203	
094934	4801.85N	00018.10E	027	017	5466.588	34	117	120	87	176	457.88687	-31.25	16.40625	24.159672	11.932203	
094955	4801.92N	00018.17E	022	018	5584.546	34	115	120	86	176	446.16812	-31.25	16.40625	23.52306	11.932203	
095016	4802.01N	00018.22E	036	020	5690.311	34	114	119	85	176	440.30875	-35.15625	16.40625	22.886448	11.932203	
095037	4802.10N	00018.30E	035	016	5794.5527	34	113	119	86	175	434.44937	-35.15625	16.40625	23.52306	11.864407	
095058	4802.17N	00018.35E	021	019	5894.2227	33	112	119	82	176	428.59	-35.15625	14.453125	20.976612	11.932203	
095119	4802.26N	00018.41E	026	015	6018.581	33	110	118	80	175	416.87125	-39.0625	14.453125	19.70339	11.864407	
095140	4802.36N	00018.48E	022	017	6127.699	18	65	119	78	172	153.19937	-35.15625	-14.84375	18.430166	11.661017	
095201	4802.47N	00018.53E	027	021	6240.7803	33	108	118	77	175	405.1525	-39.0625	14.453125	17.793554	11.864407	
095222	4802.59N	00018.59E	014	019	6360.5664	33	106	118	78	176	393.43375	-39.0625	14.453125	18.430166	11.932203	
095243	4802.71N	00018.61E	359	020	6487.3633	33	106	118	77	176	393.43375	-39.0625	14.453125	17.793554	11.932203	
095304	4802.86N	00018.62E	357	022	6585.8135	33	105	118	75	176	387.57437	-39.0625	14.453125	16.52033	11.932203	
095325	4803.01N	00018.61E	004	023	6685.788	33	104	118	72	176	381.715	-39.0625	14.453125	14.610495	11.932203	
095346	4803.17N	00018.62E	358	025	6787.2866	32	102	118	70	175	369.99625	-39.0625	12.5	13.337272	11.864407	
095407	4803.34N	00018.59E	001	032	6888.7847	32	101	118	68	175	364.13687	-39.0625	12.5	12.064048	11.864407	
095428	4803.51N	00018.57E	000	027	6994.2456	32	100	118	66	176	358.2775	-39.0625	12.5	10.790824	11.932203	
095449	4803.68N	00018.55E	348	031	7094.8296	15	52	118	63	172	77.0275	-39.0625	-20.703125	8.880989	11.661017	
