0
50
240
*****************adresse lue: 13040
0
89
36
*****************adresse lue: 22820
barre d'espace pour lire l'eeprom
47.990833	0.247218	586	62	8	172	-9	8734	587
47.990982	0.247582	604	57	8	-35	-9	6007	598
47.991146	0.247920	629	58	7	2140	-9	6152	589
47.991333	0.248283	655	45	9	-40	-9	6283	573
47.991531	0.248458	676	22	6	2140	19	5920	567
47.991676	0.248610	704	44	4	2121	10	6848	548
47.991771	0.248752	733	31	4	177	-9	8618	535
47.991901	0.248913	762	40	5	181	-28	8589	535
47.992080	0.249115	797	36	7	181	-18	8502	545
47.992275	0.249245	833	19	6	2183	-9	6210	545
47.992439	0.249327	864	20	6	2208	-9	6805	556
47.992614	0.249578	901	52	7	2111	-18	6747	557
47.992771	0.249920	937	50	9	181	-28	8372	562
47.992958	0.250150	967	29	8	181	-38	8386	564
47.993183	0.250358	1001	34	7	172	-28	8299	570
47.993419	0.250690	1039	48	10	177	-28	8241	565
47.993579	0.251067	1071	63	10	181	-47	8227	565
47.993743	0.251528	1107	57	10	181	-38	8212	564
47.993949	0.251975	1144	55	11	172	-38	8154	562
47.994102	0.252350	1177	64	10	2179	-38	6297	556
47.994220	0.252733	1216	66	8	181	-47	8081	556
47.994392	0.253162	1255	49	10	177	-38	8052	549
47.994567	0.253445	1289	46	8	172	-57	8009	543
47.994701	0.253837	1327	64	11	2135	-28	6790	534
47.994869	0.254323	1365	60	10	181	-47	7936	527
47.994968	0.254713	1397	72	9	181	-57	8125	531
47.995071	0.255122	1435	73	8	181	-57	7849	516
47.995151	0.255468	1472	64	6	181	-67	7820	515
47.995319	0.255782	1503	51	11	-50	-77	6210	508
47.995536	0.256177	1542	50	10	-50	-47	5093	507
47.995716	0.256542	1582	61	10	-64	-57	5093	502
47.995811	0.256938	1613	72	10	-50	-67	5035	486
47.995983	0.257465	1648	52	13	2145	-57	6732	486
47.996246	0.257900	1686	43	13	181	-77	7646	486
47.996528	0.258325	1718	49	15	177	-77	7559	486
47.996776	0.258875	1755	61	12	177	-86	7545	493
47.996990	0.259348	1793	47	11	181	-77	7516	494
47.997261	0.259787	1826	49	16	186	-96	7487	499
47.997589	0.260453	1862	54	18	177	-106	7443	497
47.997966	0.261057	1899	44	16	181	-96	7371	505
47.998229	0.261462	1932	51	12	2241	-86	6631	504
47.998477	0.261873	1967	38	11	186	-96	7327	501
47.998832	0.262230	2003	32	13	177	-96	7313	494
47.999141	0.262517	2031	34	11	186	-106	7298	485
47.999408	0.262845	2066	48	10	181	-96	7255	479
47.999660	0.263320	2100	46	14	186	-96	7211	466
47.999946	0.263677	2131	38	13	186	-96	7211	466
48.000286	0.264145	2169	39	15	2164	-96	6152	461
48.000579	0.264607	2205	44	12	186	-125	7124	447
48.000823	0.264933	2234	35	13	177	-125	7080	441
48.001201	0.265352	2268	37	14	177	-96	7022	431
48.001598	0.265737	2300	29	13	181	-115	7051	433
48.001853	0.266027	2328	46	11	177	-115	6993	428
48.002098	0.266458	2358	50	11	181	-115	6993	420
48.002376	0.266788	2390	33	11	2222	-106	6544	414
48.002674	0.267103	2418	40	14	-64	-115	4324	420
48.002986	0.267615	2450	51	13	-55	-115	4222	406
48.003276	0.267948	2483	34	12	-64	-115	4092	386
48.003585	0.268165	2511	26	12	-55	-125	4150	365
48.003925	0.268367	2540	23	11	177	-115	6819	345
48.004302	0.268658	2573	33	13	177	-135	6790	330
48.004611	0.269017	2600	37	13	177	-125	6776	324
48.004951	0.269443	2631	41	13	177	-125	6761	311
48.005207	0.269758	2664	32	8	181	-125	6718	308
48.005496	0.269993	2694	33	14	2241	-115	6587	299
48.005771	0.270373	2728	46	9	177	-135	6660	296
48.006076	0.270675	2764	36	12	177	-135	6631	302
48.006275	0.270992	2795	54	10	177	-144	6587	302
48.006484	0.271373	2827	45	12	181	-144	6573	297
48.006824	0.271673	2863	32	12	181	-154	6529	299
48.007080	0.271887	2896	25	9	177	-144	6529	294
48.007316	0.272095	2930	33	8	181	-144	6500	296
48.007560	0.272407	2964	44	11	181	-164	6442	297
48.007858	0.272688	2993	25	11	181	-154	6428	304
48.008136	0.272878	3026	36	8	181	-154	6399	326
48.008411	0.273285	3060	40	13	177	-154	6384	324
48.008644	0.273685	3088	50	11	177	-173	6355	311
48.008972	0.274232	3122	40	16	2251	-173	6312	304
48.009387	0.274697	3156	32	14	181	-173	6297	283
48.009651	0.275025	3185	43	12	181	-164	6253	269
48.009891	0.275440	3217	49	11	2290	-144	6428	259
48.010173	0.275917	3249	42	15	172	-164	6224	245
48.010486	0.276225	3279	33	13	-55	-173	3424	244
48.010780	0.276657	3318	50	12	-64	-173	3526	261
48.011093	0.276945	3354	29	12	-74	-164	3439	259
48.011444	0.277343	3384	40	16	-64	-183	3424	278
48.011848	0.277912	3417	45	16	177	-183	6050	291
48.012153	0.278363	3451	37	11	172	-202	6050	299
48.012493	0.278720	3482	37	16	172	-183	6007	300
48.012809	0.279182	3521	45	12	177	-183	5978	299
48.013145	0.279548	3561	36	13	172	-193	5934	300
48.013488	0.279950	3591	44	16	181	-183	5949	304
48.013763	0.280378	3625	37	11	177	-202	5905	308
48.014076	0.280763	3663	43	13	177	-193	5847	318
48.014324	0.281198	3696	53	13	172	-202	5847	321
48.014579	0.281633	3735	44	11	181	-202	5818	326
48.014846	0.282138	3770	52	14	2246	-193	6297	321
48.015159	0.282542	3801	42	14	181	-202	6631	324
48.015506	0.283060	3839	44	16	177	-222	5746	321
48.015972	0.283557	3872	31	15	181	-222	5702	324
48.016254	0.283898	3900	46	13	177	-202	5702	316
48.016567	0.284492	3933	50	16	177	-212	5673	308
